  Building 'PHGuard' with toolset 'WindowsKernelModeDriver10.0' and the 'Universal' target platform.
  Stamping Debug\myDriver1.inf
  Stamping [Version] section with DriverVer=10/09/2022,16.25.52.50
  utils.c
C:\Users\Administrator\Source\Repos\myDriver10\Punishment_Heart_Driver\utils.c(3,63): error C2220: 以下警告被视为错误
C:\Users\Administrator\Source\Repos\myDriver10\Punishment_Heart_Driver\utils.c(3,63): warning C4100: “sig”: 未引用的形参
C:\Users\Administrator\Source\Repos\myDriver10\Punishment_Heart_Driver\utils.c(3,48): warning C4100: “size_t”: 未引用的形参
C:\Users\Administrator\Source\Repos\myDriver10\Punishment_Heart_Driver\utils.c(3,31): warning C4100: “Address”: 未引用的形参
C:\Users\Administrator\Source\Repos\myDriver10\Punishment_Heart_Driver\utils.c(12,59): warning C4305: “类型强制转换”: 从“ULONG64”到“PLIST_ENTRY”截断
C:\Users\Administrator\Source\Repos\myDriver10\Punishment_Heart_Driver\utils.c(22,46): warning C4305: “类型强制转换”: 从“ULONG64”到“ULONG *”截断
C:\Users\Administrator\Source\Repos\myDriver10\Punishment_Heart_Driver\utils.c(9,1): warning C4047: “初始化”:“ULONG64”与“PEPROCESS”的间接级别不同
C:\Users\Administrator\Source\Repos\myDriver10\Punishment_Heart_Driver\utils.c(37,59): warning C4305: “类型强制转换”: 从“ULONG64”到“PLIST_ENTRY”截断
C:\Users\Administrator\Source\Repos\myDriver10\Punishment_Heart_Driver\utils.c(47,45): warning C4305: “类型强制转换”: 从“ULONG64”到“UCHAR *”截断
C:\Users\Administrator\Source\Repos\myDriver10\Punishment_Heart_Driver\utils.c(50,27): warning C4057: “函数”:“const char *”与“PUCHAR”在稍微不同的基类型间接寻址上不同
C:\Users\Administrator\Source\Repos\myDriver10\Punishment_Heart_Driver\utils.c(50,41): warning C4057: “函数”:“const char *”与“PUCHAR”在稍微不同的基类型间接寻址上不同
C:\Users\Administrator\Source\Repos\myDriver10\Punishment_Heart_Driver\utils.c(34,1): warning C4047: “初始化”:“ULONG64”与“PEPROCESS”的间接级别不同
C:\Users\Administrator\Source\Repos\myDriver10\Punishment_Heart_Driver\utils.c(59,34): warning C4100: “FileImageName”: 未引用的形参
  _driver.c
